"URls","HTTP Status Code"
"https://www.washingtonpost.com/news/worldviews/wp/2017/09/30/all-the-theories-about-whats-happening-to-the-diplomats-in-cuba/","200"
"https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html","200"
"https://www.washingtonpost.com/pb/resources/css/latest/headerfonts.1.latest.css?_=201709051225EDT","200"
"https://www.washingtonpost.com/pb/resources/img/twp-masthead-415x57.svg","200"
"https://www.washingtonpost.com/rw/WashingtonPost/Content/Epaper/2017-09-30/Ax1_module2.jpg","200"
"https://www.washingtonpost.com/news/the-switch/wp/2017/09/28/ikea-has-purchased-taskrabbit-to-help-you-bypass-those-assembly-instructions/","200"
"https://www.washingtonpost.com/people/matt-bonesteel/","200"
"https://www.washingtonpost.com/powerpost/republicans-are-keeping-roy-moore-and-his-controversial-views-at-arms-length/2017/09/29/7dc3a032-a472-11e7-b14f-f41773cd5a14_story.html","200"
"https://www.washingtonpost.com/people/david-von-drehle","301"
"https://www.washingtonpost.com/graphics/2017/national/fair-representation/","200"
"https://www.washingtonpost.com/sports/colleges/maryland-football-knocks-off-minnesota-with-third-string-qb-for-its-third-win/2017/09/30/442ea6bc-a609-11e7-b14f-f41773cd5a14_story.html","200"
"https://www.washingtonpost.com/news/to-your-health/wp/2017/09/30/mother-who-refuses-to-follow-court-order-to-vaccinate-son-most-likely-ill-be-going-to-jail/?utm_term=.af605c184abc","200"
"https://www.washingtonpost.com/news/true-crime/wp/2017/09/29/i-dont-have-an-ounce-of-guilt-says-teen-accused-of-trying-to-kill-infant-with-poisoned-milk/","200"
"https://www.washingtonpost.com/people/paul-kane/","200"
"https://www.washingtonpost.com/outlook/im-dying-of-brain-cancer-i-prepared-to-end-my-life-then-i-kept-living/2017/09/29/ef88f0fc-8ce7-11e7-84c0-02cc069f2c37_story.html","200"
"https://www.washingtonpost.com/news/to-your-health/wp/2017/09/30/a-model-decided-to-tattoo-her-eyeball-shes-now-partially-blind-and-in-excruciating-pain/?utm_term=.80f0966c5a1f","200"
"https://www.washingtonpost.com/news/true-crime/wp/2017/09/29/a-mother-went-on-an-11-day-european-vacation-and-left-her-young-children-alone-at-home/","200"
"https://www.washingtonpost.com/news/to-your-health/wp/2017/09/30/a-model-decided-to-tattoo-her-eyeball-shes-now-partially-blind-and-in-excruciating-pain/","200"
"https://www.washingtonpost.com/local/obituaries/anne-jeffreys-vivacious-ghostess-with-the-mostest-on-tvs-topper-dies-at-94/2017/09/28/ccd9bcf8-a46b-11e7-ade1-76d061d56efa_story.html","200"
"https://www.washingtonpost.com/local/obituaries/","200"
"https://www.washingtonpost.com/news/the-fix/wp/2017/09/30/trump-doesnt-get-it-on-puerto-rico-he-just-proved-it-by-lashing-out-at-san-juans-mayor/?tid=pm_pop","200"
